肖申克的救赎,1994,犯罪 剧情,9.7,2660355,希望让人自由。
霸王别姬,1993,剧情 爱情 同性,9.6,1975084,风华绝代。
阿甘正传,1994,剧情 爱情,9.5,1998913,一部美国近现代史。
泰坦尼克号,1997,剧情 爱情 灾难,9.4,1958567,失去的才是永恒的。 
这个杀手不太冷,1994,剧情 动作 犯罪,9.4,2145790,怪蜀黍和小萝莉不得不说的故事。
美丽人生,1997,剧情 喜剧 爱情 战争,9.6,1227838,最美的谎言。
千与千寻,2001,剧情 动画 奇幻,9.4,2075054,最好的宫崎骏，最好的久石让。 
辛德勒的名单,1993,剧情 历史 战争,9.6,1024326,拯救一个人，就是拯救整个世界。
盗梦空间,2010,剧情 科幻 悬疑 冒险,9.4,1913844,诺兰给了我们一场无法盗取的梦。
星际穿越,2014,剧情 科幻 冒险,9.4,1611290,爱是一种力量，让我们超越时空感知它的存在。
忠犬八公的故事,2009,剧情,9.4,1307390,永远都不能忘记你所爱的人。
楚门的世界,1998,剧情 科幻,9.3,1532338,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,1998,剧情 音乐,9.3,1558126,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,2009,剧情 喜剧 爱情 歌舞,9.2,1734755,英俊版憨豆，高情商版谢耳朵。
机器人总动员,2008,科幻 动画 冒险,9.3,1225757,小瓦力，大人生。
放牛班的春天,2004,剧情 喜剧 音乐,9.3,1210047,天籁一般的童声，是最接近上帝的存在。 
无间道,2002,剧情 犯罪 惊悚,9.3,1235898,香港电影史上永不过时的杰作。
疯狂动物城,2016,喜剧 动画 冒险,9.2,1754772,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,1995,喜剧 爱情 奇幻 古装,9.2,1421464,一生所爱。
熔炉,2011,剧情,9.3,865655,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
控方证人,1957,剧情 犯罪 悬疑,9.6,476795,比利·怀德满分作品。
教父,1972,剧情 犯罪,9.3,884464,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,2006,剧情 传记 家庭,9.2,1411491,平民励志片。 
触不可及,2011,剧情 喜剧,9.3,995598,满满温情的高雅喜剧。
怦然心动,2010,剧情 喜剧 爱情,9.1,1694725,真正的幸福是来自内心深处。
龙猫,1988,动画 奇幻 冒险,9.2,1172608,人人心中都有个龙猫，童年就永远不会消失。
末代皇帝,1987,剧情 传记 历史,9.3,793926,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,2017,喜剧 动画 奇幻 音乐,9.1,1515238,死亡不是真的逝去，遗忘才是永恒的消亡。
蝙蝠侠：黑暗骑士,2008,剧情 动作 科幻 犯罪 惊悚,9.2,978194,无尽的黑暗。
活着,1994,剧情 历史 家庭,9.3,764743,张艺谋最好的电影。
哈利·波特与魔法石,2001,奇幻 冒险,9.2,1067046,童话世界的开端。
指环王3：王者无敌,2003,剧情 动作 奇幻 冒险,9.3,739844,史诗的终章。
乱世佳人,1939,剧情 历史 爱情 战争,9.3,638393,Tomorrow is another day.
素媛,2013,剧情,9.3,628617,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,2009,剧情 喜剧 动画 冒险,9.1,1227146,最后那些最无聊的事情，才是最值得怀念的。 
我不是药神,2018,剧情 喜剧,9.0,1943593,对我们国家而言，这样的电影多一部是一部。
摔跤吧！爸爸,2016,剧情 传记 运动 家庭,9.0,1457959,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
何以为家,2018,剧情,9.1,958805,凝视卑弱生命，用电影改变命运。
十二怒汉,1957,剧情,9.4,442450,1957年的理想主义。 
哈尔的移动城堡,2004,动画 奇幻 冒险,9.1,932237,带着心爱的人在天空飞翔。
少年派的奇幻漂流,2012,剧情 奇幻 冒险,9.1,1261031,瑰丽壮观、无人能及的冒险之旅。
鬼子来了,2000,剧情 喜剧,9.3,573667,对敌人的仁慈，就是对自己残忍。
猫鼠游戏,2002,传记 犯罪 剧情,9.1,908048,骗子大师和执著警探的你追我跑故事。 
大话西游之月光宝盒,1995,喜剧 爱情 奇幻 古装,9.0,1133141,旷古烁今。
天空之城,1986,动画 奇幻 冒险,9.1,761013,对天空的追逐，永不停止。 
让子弹飞,2010,剧情 喜剧 动作 西部,8.9,1548850,你给我翻译翻译，神马叫做TMD的惊喜。
钢琴家,2002,剧情 传记 战争 音乐,9.3,562572,音乐能化解仇恨。
闻香识女人,1992,剧情,9.1,807245,史上最美的探戈。
指环王2：双塔奇兵,2002,剧情 动作 奇幻 冒险,9.2,691110,承前启后的史诗篇章。
天堂电影院,1988,剧情 爱情,9.2,637428,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
海蒂和爷爷,2015,剧情 冒险 家庭,9.3,510725,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
罗马假日,1953,喜剧 剧情 爱情,9.1,888180,爱情哪怕只有一天。
黑客帝国,1999,动作 科幻,9.1,777114,视觉革命。
指环王1：护戒使者,2001,剧情 动作 奇幻 冒险,9.1,780520,传说的开始。
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),剧情 动画 奇幻 古装,9.4,393338,经典之作，历久弥新。
死亡诗社,1989,剧情,9.1,653373,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
教父2,1974,剧情 犯罪,9.3,501572,优雅的孤独。
绿皮书,2018,剧情 喜剧 传记 音乐,8.9,1493750,去除成见，需要勇气。
辩护人,2013,剧情,9.2,549675,电影的现实意义大过电影本身。
狮子王,1994,动画 冒险 歌舞,9.1,769912,动物版《哈姆雷特》。
搏击俱乐部,1999,剧情 动作 悬疑 惊悚,9.0,785290,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
饮食男女,1994,剧情 家庭,9.2,564716,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,2001,传记 剧情,9.1,711259,爱是一切逻辑和原由。
本杰明·巴顿奇事,2008,剧情 爱情 奇幻,9.0,912449,在时间之河里感受溺水之苦。
窃听风暴,2006,剧情 悬疑,9.2,521577,别样人生。
穿条纹睡衣的男孩,2008,剧情 战争,9.2,507497,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,1995,剧情 爱情,8.9,1001265,暗恋的极致。
两杆大烟枪,1998,剧情 喜剧 犯罪,9.1,554637,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,2000,剧情 战争 情色,8.9,903315,美丽无罪。
看不见的客人,2016,剧情 犯罪 悬疑 惊悚,8.8,1153208,你以为你以为的就是你以为的。
音乐之声,1965,剧情 传记 爱情 歌舞,9.1,554435,用音乐化解仇恨，让歌声串起美好。
拯救大兵瑞恩,1998,剧情 战争,9.1,598600,美利坚精神输出大片No1.
飞越疯人院,1975,剧情,9.1,514230,自由万岁。
小鞋子,1997,剧情 儿童 家庭,9.2,377097,奔跑的孩子是天使。
阿凡达,2009,动作 科幻 冒险,8.8,1282144,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),2011,奇幻 冒险,8.9,752962,10年的完美句点。
沉默的羔羊,1991,剧情 犯罪 惊悚,8.9,810847,安东尼·霍普金斯的顶级表演。
致命魔术,2006,剧情 悬疑 惊悚,8.9,792935,孪生蝙蝠侠大战克隆金刚狼。
海豚湾,2009,纪录片,9.3,339327,海豚的微笑，是世界上最高明的伪装。
禁闭岛,2010,剧情 悬疑 惊悚,8.9,891978,昔日翩翩少年，今日大腹便便。
布达佩斯大饭店,2014,剧情 喜剧 冒险,8.9,846662,小清新的故事里注入了大历史的情怀。
蝴蝶效应,2004,剧情 悬疑 科幻 惊悚,8.9,865032,人的命运被自己瞬间的抉择改变。
美国往事,1984,犯罪 剧情,9.2,382152,往事如烟，无处祭奠。
心灵捕手,1997,剧情,8.9,654298,人生中应该拥有这样的一段豁然开朗。
低俗小说,1994,剧情 喜剧 犯罪,8.9,768540,故事的高级讲法。
春光乍泄,1997,剧情 爱情 同性,9.0,581725,爱情纠缠，男女一致。
摩登时代,1936,剧情 喜剧 爱情,9.3,274215,大时代中的人生，小人物的悲喜。
喜剧之王,1999,喜剧 剧情 爱情,8.8,891004,我是一个演员。
七宗罪,1995,剧情 犯罪 悬疑 惊悚,8.8,882600,警察抓小偷，老鼠玩死猫。
功夫,2004,动作 喜剧 犯罪 奇幻,8.8,1001595,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
致命ID,2003,剧情 悬疑 惊悚,8.8,751523,最不可能的那个人永远是最可能的。
超脱,2011,剧情,9.0,515028,穷尽一生，我们要学会的，不过是彼此拥抱。
